name,views,run_time,hours_viewed
Troll,"103,000,000",1:44,"178,600,000"
Under Paris,"102,300,000",1:44,"177,300,000"
Society of the Snow,"98,500,000",2:26,"239,700,000"
Exterritorial,"88,500,000",1:49,"160,800,000"
Nowhere,"85,700,000",1:49,"155,600,000"
The Platform,"82,800,000",1:34,"129,700,000"
Counterattack,"66,900,000",1:25,"94,800,000"
Ad Vitam,"63,100,000",1:38,"103,000,000"
Through My Window,"61,100,000",1:54,"116,000,000"
AKA,"60,900,000",2:04,"125,900,000"
